model,precision_at_k,recall_at_k,ndcg_at_k,map_at_k,coverage,eval_users
content_tfidf,0.12000000000000002,1.0,0.45202960467526393,0.28190476190476194,1.0,10
content_bow,0.12000000000000002,1.0,0.44655107375095443,0.2745238095238095,1.0,10
content_tfidf_lemmatized,0.12000000000000002,1.0,0.45202960467526393,0.28190476190476194,1.0,10
hybrid_weighted_alpha_0.3,0.12000000000000002,1.0,0.5066053955176864,0.3509523809523809,1.0,10
hybrid_weighted_alpha_0.5,0.12000000000000002,1.0,0.5452906762411406,0.40095238095238084,1.0,10
hybrid_weighted_alpha_0.6,0.12000000000000002,1.0,0.5495412236221544,0.40928571428571425,1.0,10
hybrid_weighted_alpha_0.7,0.12000000000000002,1.0,0.5495412236221544,0.40928571428571425,1.0,10
hybrid_weighted_alpha_0.9,0.12000000000000002,1.0,0.5495412236221544,0.40928571428571425,1.0,10
hybrid_switching_th_3,0.12000000000000002,1.0,0.4998436725543044,0.340952380952381,1.0,10
hybrid_switching_th_5,0.12000000000000002,1.0,0.45202960467526393,0.28190476190476194,1.0,10
hybrid_switching_th_10,0.12000000000000002,1.0,0.45202960467526393,0.28190476190476194,1.0,10
hybrid_switching_th_15,0.12000000000000002,1.0,0.45202960467526393,0.28190476190476194,1.0,10
hybrid_weighted_tuned,0.12000000000000002,1.0,0.5495412236221544,0.40928571428571425,1.0,10
hybrid_switching_tuned,0.12000000000000002,1.0,0.4998436725543044,0.340952380952381,1.0,10
